ID,Label,Glottocode,ISO639P3code,Name,Family,Latitude,Longitude,Project,ProjectFile,EntryDate,Comment,Link,Set
v_denethasouthslaveysout2959,DeneTha_South_Slavey__sout2959,sout2959,xsl,South Slavey,,59.8794,-117.047,varikin,DeneTha_South_Slavey__sout2959.txt,NA,,NA,Varikin
v_dharumbaldhar1248,Dharumbal_dhar1248,dhar1248,xgm,Dharumbal,Pama-Nyungan,-23.307,150.593,varikin,Dharumbal_dhar1248.txt,NA,,NA,Varikin
v_dhuwaldhuw1249,Dhuwal_dhuw1249,dhuw1249,duj,Dhuwal,Pama-Nyungan,-12.7825,136.008,varikin,Dhuwal_dhuw1249.txt,NA,,NA,Varikin
v_digodigo1243,Digo_digo1243,digo1243,dig,Digo,Atlantic-Congo,-4.62101,39.1752,varikin,Digo_digo1243.txt,NA,,NA,Varikin
v_dingding1239,Ding_ding1239,ding1239,diz,Ding,Atlantic-Congo,-4.44304,19.3881,varikin,Ding_ding1239.txt,NA,,NA,Varikin
v_diyaridier1241,Diyari_dier1241,dier1241,dif,Dieri,Pama-Nyungan,-28.1667,138,varikin,Diyari_dier1241.txt,NA,,NA,Varikin
v_djambarrpuyngudjam1256,Djambarrpuyngu_djam1256,djam1256,djr,Djambarrpuyngu,Pama-Nyungan,-12.021,135.59,varikin,Djambarrpuyngu_djam1256.txt,NA,,NA,Varikin
v_djinangdjin1253,Djinang_djin1253,djin1253,dji,Djinang,Pama-Nyungan,-12.462,134.82,varikin,Djinang_djin1253.txt,NA,,NA,Varikin
v_dogribdogr1252,Dogrib_dogr1252,dogr1252,dgr,Dogrib,,62.3823,-114.193,varikin,Dogrib_dogr1252.txt,NA,,NA,Varikin
v_dualadual1243,Duala_dual1243,dual1243,dua,Duala,Atlantic-Congo,4.10208,9.61877,varikin,Duala_dual1243.txt,NA,,NA,Varikin
v_dumaduma1253,Duma_duma1253,duma1253,dma,Duma,Atlantic-Congo,-0.91927,13.0046,varikin,Duma_duma1253.txt,NA,,NA,Varikin
v_dutchdutc1256,Dutch_dutc1256,dutc1256,nld,Dutch,Indo-European,52,5,varikin,Dutch_dutc1256.txt,NA,,NA,Varikin
v_dyirbaldyir1250,Dyirbal_dyir1250,dyir1250,dbl,Dyirbal,Pama-Nyungan,-17.4516,145.544,varikin,Dyirbal_dyir1250.txt,NA,,NA,Varikin
v_easterislandersrapa1244,Easter_Islanders_rapa1244,rapa1244,rap,Rapanui,Austronesian,-27.113,-109.342,varikin,Easter_Islanders_rapa1244.txt,NA,,NA,Varikin
v_easternarmenianeast2283,Eastern_Armenian_east2283,nucl1235,hye,Eastern Armenian,Indo-European,40,45,varikin,Eastern_Armenian_east2283.txt,NA,,NA,Varikin
v_easternpaharinepalieast1436,Eastern_Pahari_Nepali__east1436,east1436,nep,Eastern Pahari,Indo-European,27.59470333,87.62008333,varikin,Eastern_Pahari_Nepali__east1436.txt,NA,,NA,Varikin
v_easternyiddisheast2295,Eastern_Yiddish_east2295,east2295,ydd,Eastern Yiddish,Indo-European,51.75,19.42,varikin,Eastern_Yiddish_east2295.txt,NA,,NA,Varikin
v_ekondamongoekon1238,Ekonda_Mongo_ekon1238,ekon1238,,Ekonda Mongo,Atlantic-Congo,,,varikin,Ekonda_Mongo_ekon1238.txt,NA,,NA,Varikin
v_elamiteelam1244,Elamite_elam1244,elam1244,elx,Elamite,,31.1833,48.2333,varikin,Elamite_elam1244.txt,NA,,NA,Varikin
v_ellicetuva1244,Ellice_tuva1244,tuva1244,tvl,Tuvalu,Austronesian,-8.520813,179.198088,varikin,Ellice_tuva1244.txt,NA,,NA,Varikin
v_epenaepen1239,Epena_epen1239,epen1239,sja,Epena,,4.25877,-77.3566,varikin,Epena_epen1239.txt,NA,,NA,Varikin
v_erzyaerzy1239,Erzya_erzy1239,erzy1239,myv,Erzya,Uralic,52.8548,45.3901,varikin,Erzya_erzy1239.txt,NA,,NA,Varikin
v_estonianesto1258,Estonian_esto1258,esto1258,ekk,Estonian,Uralic,58.55,25.82,varikin,Estonian_esto1258.txt,NA,,NA,Varikin
v_eudeveeude1234,Eudeve_eude1234,eude1234,,Eudeve,Uto-Aztecan,28.5,-110,varikin,Eudeve_eude1234.txt,NA,,NA,Varikin
